Convert From,Convert To,Multiply By 	
L,L,1 
scM,L,1000 
scf,L,28.317 
scy,L,764.559 
quart,L,0.9475 
Gal (US),L,3.79 
Gal (imp),L,4.55179 
Barrel,L,159.18 
